State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/9/16,23:00,1/10/16,6:00,9.6,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,0:00,1/10/16,7:00,11.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,1:00,1/10/16,8:00,15.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,2:00,1/10/16,9:00,13.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,3:00,1/10/16,10:00,12.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,4:00,1/10/16,11:00,9.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,5:00,1/10/16,12:00,8,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,6:00,1/10/16,13:00,8.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,7:00,1/10/16,14:00,8,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,8:00,1/10/16,15:00,8.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,9:00,1/10/16,16:00,8.9,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,10:00,1/10/16,17:00,10.9,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,11:00,1/10/16,18:00,9.7,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/10/16,12:00,1/10/16,19:00,9.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
